,Label,Skin Type,Characteristics,Skincare Recommendations,Soap Recommendation,Cream Recommendation,Scrub Recommendation,Face Cleanser Recommendation,Face Cream Recommendation,Common Skin Concerns
18,19,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
19,20,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
20,21,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
21,22,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
22,23,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
23,24,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
24,25,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
25,26,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
26,27,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
27,28,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
28,29,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
29,30,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
30,31,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
31,32,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
32,33,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
33,34,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
34,35,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
35,36,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
36,37,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
37,38,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
38,39,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
39,40,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
40,41,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
41,42,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
42,43,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
43,44,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
44,45,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
45,46,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
46,47,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
47,48,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
48,49,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
49,50,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
50,51,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
51,52,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
52,53,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
53,54,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
54,55,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
55,56,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
56,57,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
57,58,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
58,59,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
59,60,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
60,61,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
61,62,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
62,63,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
63,64,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
64,65,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
65,66,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
